Personnel Number (P);Days not recorded 2015;Excess 2015
1192;0;0.00
1255;0;0.00
1460;0;0.00
1586;0;0.00
2099;0;0.00
2153;0;0.00
972;0;0.00
1898;0;0.00
2155;0;0.00
940;0;82.00
1749;0;147.50
1787;0;40.50
2061;0;47.00
2276;0;0.50
894;5;45.75
990;0;109.00
1216;1;19.25
1360;0;45.00
1361;0;27.50
1664;0;5.00
1795;0;11.50
2098;0;33.00
2275;0;2.75
813;0;81.50
948;0;147.50
1070;0;30.00
1462;0;12.75
1597;0;36.00
1965;0;140.00
860;0;1.00
898;0;61.50
1362;0;31.00
660;0;71.00
943;0;27.25
1558;0;103.75
2063;3;307.25
634;0;75.75
1179;0;55.00
1334;0;75.00
1431;0;37.50
1752;0;125.50
1858;0;33.00
2014;9;88.75
2042;6;55.25
2097;6;71.50
2273;0;12.50
773;0;113.75
794;0;92.50
1127;0;37.50
1143;0;244.50
1148;0;102.00
1204;0;88.00
1240;0;184.50
1341;0;209.00
1453;0;45.00
1491;0;-0.75
1654;0;79.00
1659;0;16.75
1690;0;54.75
1767;0;58.00
1921;0;67.00
2015;0;5.75
2319;4;-11.50
1223;0;174.75
1415;0;141.25
1982;0;58.00
2093;24;64.50
2128;10;363.75
2272;0;0.25
1017;0;188.00
1046;0;41.50
1118;0;239.75
1351;0;26.50
1577;0;212.25
1608;0;173.50
1765;2;200.50
1881;0;57.25
1901;0;436.50
1952;0;32.25
2096;14;115.00
2277;0;0.75
947;0;75.50
1458;0;23.50
1515;3;26.75
928;0;129.00
949;0;72.75
1009;0;58.50
1369;0;259.00
1380;0;31.00
1665;0;72.50
1860;0;38.00
2274;0;0.50
35;0;42.75
603;0;12.50
1113;0;160.75
1181;0;73.00
1303;0;35.50
1492;0;25.00
1676;0;-0.75
1807;0;51.75
828;0;24.75
869;0;98.75
1368;2;21.00
2054;0;9.00
839;0;39.25
993;0;1.25
1025;0;6.25
1149;0;33.00
1150;0;79.50
1217;0;24.75
899;0;76.50
